"E01.01.30.10";"\RSen_10_Model families\Electrical Equipment\RSen_61_EE_FB_hv-cell_gen_witas.rfa";"RSen_61_EE_FB_hv-cell_gen_witas.rfa";"E01.01.30.10__KxN__hv cabin_gen__";"KxN";"False";"AANSLUITING :: Hoogspanning :: Hoogspanningsmateriaal type AA20 / AA15 / AA35 :: Lusschakelaar";"RACCORDEMENT :: Haute tension ::  :: Interrupteur de boucle"
"E06.01.01.10";"\RSen_10_Model families\Electrical Devices\Lighting Devices\High Current\RSen_62_LD_FB_switches - high current_gen_witas.rfa";"RSen_62_LD_FB_switches - high current_gen_witas.rfa";"E06.01.01.10__EB__two-pole switch_gen__";"EB";"False";"BEDIENINGSAPPARATUUR :: Inbouw :: Inbouw IP21 standaard :: Dubbelpolige schakelaar";"APPAREILLAGE DE COMMANDE :: Encastré :: Encastré IP21 standard :: Interrupteur bipolaire"
"E06.01.01.11";"\RSen_10_Model families\Electrical Devices\Lighting Devices\High Current\RSen_62_LD_FB_switches - high current_gen_witas.rfa";"RSen_62_LD_FB_switches - high current_gen_witas.rfa";"E06.01.01.11__EB__single pole two way switch_gen__";"EB";"True";"BEDIENINGSAPPARATUUR :: Inbouw :: Inbouw IP21 standaard :: Wisselschakelaar";"APPAREILLAGE DE COMMANDE :: Encastré :: Encastré IP21 standard :: Interrupteur va-et-vient"
"E06.01.01.12";"\RSen_10_Model families\Electrical Devices\Lighting Devices\High Current\RSen_62_LD_FB_switches - high current_gen_witas.rfa";"RSen_62_LD_FB_switches - high current_gen_witas.rfa";"E06.01.01.12__EB__two-pole two way switch_gen__";"EB";"False";"BEDIENINGSAPPARATUUR :: Inbouw :: Inbouw IP21 standaard :: Dubbelpolige wisselschakelaar";"APPAREILLAGE DE COMMANDE :: Encastré :: Encastré IP21 standard :: Interrupteur va-et-vient bipolaire"
"E06.01.01.13";"\RSen_10_Model families\Electrical Devices\Lighting Devices\High Current\RSen_62_LD_FB_switches - high current_gen_witas.rfa";"RSen_62_LD_FB_switches - high current_gen_witas.rfa";"E06.01.01.13__EB__cross-bar switch_gen__";"EB";"True";"BEDIENINGSAPPARATUUR :: Inbouw :: Inbouw IP21 standaard :: Kruisschakelaar";"APPAREILLAGE DE COMMANDE :: Encastré :: Encastré IP21 standard :: Interrupteur permutateur"
"E06.01.01.14";"\RSen_10_Model families\Electrical Devices\Lighting Devices\High Current\RSen_62_LD_FB_switches - high current_gen_witas.rfa";"RSen_62_LD_FB_switches - high current_gen_witas.rfa";"E06.01.01.14__EB__single pole change-over switch_gen__";"EB";"False";"BEDIENINGSAPPARATUUR :: Inbouw :: Inbouw IP21 standaard :: Serieschakelaar";"APPAREILLAGE DE COMMANDE :: Encastré :: Encastré IP21 standard :: Interrupteur double-allumage"
"E06.01.01.16";"\RSen_10_Model families\Electrical Devices\Lighting Devices\High Current\RSen_62_LD_FB_switches - high current_gen_witas.rfa";"RSen_62_LD_FB_switches - high current_gen_witas.rfa";"E06.01.01.16__EB__single pole switch with signaling lamp_gen__";"EB";"False";"BEDIENINGSAPPARATUUR :: Inbouw :: Inbouw IP21 standaard :: Enkelpolige schakelaar met LED";"APPAREILLAGE DE COMMANDE :: Encastré :: Encastré IP21 standard :: Interrupteur unipolaire à témoin"
"E06.01.01.17";"\RSen_10_Model families\Electrical Devices\Lighting Devices\High Current\RSen_62_LD_FB_switches - high current_gen_witas.rfa";"RSen_62_LD_FB_switches - high current_gen_witas.rfa";"E06.01.01.17__EB__two-pole switch with indicator light_gen__";"EB";"True";"BEDIENINGSAPPARATUUR :: Inbouw :: Inbouw IP21 standaard :: Dubbelpolige schakelaar met LED";"APPAREILLAGE DE COMMANDE :: Encastré :: Encastré IP21 standard :: Interrupteur bipolaire à témoin"
"E06.01.01.19";"\RSen_10_Model families\Electrical Devices\Lighting Devices\High Current\RSen_62_LD_FB_switches - high current_gen_witas.rfa";"RSen_62_LD_FB_switches - high current_gen_witas.rfa";"E06.01.01.19__EB__single pole pull switch_gen__";"EB";"False";"BEDIENINGSAPPARATUUR :: Inbouw :: Inbouw IP21 standaard :: Trekschakelaar met wisselcontact";"APPAREILLAGE DE COMMANDE :: Encastré :: Encastré IP21 standard :: Interrupteur à tirette va-et-vient"
"E06.01.01.20";"\RSen_10_Model families\Electrical Devices\Communication Devices\RSen_67_COM_FB_control blinds_gen_witas.rfa";"RSen_67_COM_FB_control blinds_gen_witas.rfa";"E06.01.01.20__EB__control blinds_gen__";"EB";"True";"BEDIENINGSAPPARATUUR :: Inbouw :: Inbouw IP21 standaard :: Rolluikschakelaar";"APPAREILLAGE DE COMMANDE :: Encastré :: Encastré IP21 standard :: Interrupteur pour volets"
"E06.01.01.22";"\RSen_10_Model families\Electrical Devices\Electrical Fixtures\RSen_62_EF_FB_socket_gen_witas.rfa";"RSen_62_EF_FB_socket_gen_witas.rfa";"E06.01.01.22__EB__single - protective conductor - child protection - recessed_gen__";"EB";"True";"BEDIENINGSAPPARATUUR :: Inbouw :: Inbouw IP21 standaard :: Contactdoos, 2P+A";"APPAREILLAGE DE COMMANDE :: Encastré :: Encastré IP21 standard :: Prise de courant, 2P+T"
"E06.01.01.23";"\RSen_10_Model families\Electrical Devices\Electrical Fixtures\RSen_62_EF_FB_socket_gen_witas.rfa";"RSen_62_EF_FB_socket_gen_witas.rfa";"E06.01.01.23__EB__single - protective conductor - child protection - recessed_gen_orange__";"EB";"False";"BEDIENINGSAPPARATUUR :: Inbouw :: Inbouw IP21 standaard :: Contactdoos, 2P+A, rood in de massa";"APPAREILLAGE DE COMMANDE :: Encastré :: Encastré IP21 standard :: Prise de courant, 2P+T, rouge dans la masse"
"E06.01.01.24";"\RSen_10_Model families\Electrical Devices\Electrical Fixtures\RSen_62_EF_FB_socket_gen_witas.rfa";"RSen_62_EF_FB_socket_gen_witas.rfa";"E06.01.01.24__EB__dual socket - protective conductor - child protection - recessed_gen__";"EB";"True";"BEDIENINGSAPPARATUUR :: Inbouw :: Inbouw IP21 standaard :: Dubbele contactdoos, 2P+A";"APPAREILLAGE DE COMMANDE :: Encastré :: Encastré IP21 standard :: Prise de courant double, 2P+T"
"E06.01.01.25";"\RSen_10_Model families\Electrical Devices\Electrical Fixtures\RSen_62_EF_FB_socket_gen_witas.rfa";"RSen_62_EF_FB_socket_gen_witas.rfa";"E06.01.01.25__EB__dual socket - protective conductor - child protection - recessed_gen_orange__";"EB";"False";"BEDIENINGSAPPARATUUR :: Inbouw :: Inbouw IP21 standaard :: Dubbele contactdoos, 2P+A, rood in de massa";"APPAREILLAGE DE COMMANDE :: Encastré :: Encastré IP21 standard :: Prise de courant double, 2P+T, rouge dans la masse"
"E06.01.01.26";"\RSen_10_Model families\Electrical Devices\Electrical Fixtures\RSen_62_EF_FB_socket_gen_witas.rfa";"RSen_62_EF_FB_socket_gen_witas.rfa";"E06.01.01.26__EB__triple - protective conductor - child protection - recessed_gen__";"EB";"True";"BEDIENINGSAPPARATUUR :: Inbouw :: Inbouw IP21 standaard :: Drievoudige contactdoos, 2P+A";"APPAREILLAGE DE COMMANDE :: Encastré :: Encastré IP21 standard :: Prise de courant triple, 2P+T"
"E06.01.01.27";"\RSen_10_Model families\Electrical Devices\Electrical Fixtures\RSen_62_EF_FB_socket_gen_witas.rfa";"RSen_62_EF_FB_socket_gen_witas.rfa";"E06.01.01.27__EB__quadruple - protective conductor - child protection - recessed_gen__";"EB";"True";"BEDIENINGSAPPARATUUR :: Inbouw :: Inbouw IP21 standaard :: Viervoudige contactdoos, 2P+A";"APPAREILLAGE DE COMMANDE :: Encastré :: Encastré IP21 standard :: Prise de courant quadruple, 2P+T"
